text,date,original,genre,related,PII,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report,actionable_haiti,processed_text
"A Comitee in Delmas 19, Rue ( street ) Janvier, Impasse Charite #2. We have about 500 people in a temporary shelter and we are in dire need of Water, Food, Medications, Tents and Clothes. Please stop by and see us.",17-01-2010,"Komite katye delma 19 rue janvier imp charite no 2. Nou genyen 500 moun ki nan abri pwovizwa. Nou bezwen dlo, manje, medikaman, tant, vtman. Tanpri vizite n.",direct,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, comitee in delmas rue street janvier impasse charite we have about people in temporary shelter and we are in dire need of water food medications tents and clothes please stop by and see us 
I don't understand how to use this thing 4636.,17-01-2010,Mwen pa konprann koman pou m itilize bagay 4636 la,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, don understand how to use this thing 
I would like to know if the earthquake is over. Thanks,17-01-2010,Mwen ta remen connin si trenblem de terre afini oke,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0, would like to know if the earthquake is over thanks
I would like to know if one of the radio ginen Journalist died?,17-01-2010,Mwen ta renmen konnen eske ge jounalis radyo ginen ki mouri.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, would like to know if one of the radio ginen journalist died 
"I'm in Laplaine, I am a victim",17-01-2010,Mwen laplan mwen viktim kot yap bay d pou latranbl,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, in laplaine am victim
"There's a lack of water in Moleya, please informed them for me.",17-01-2010,Nan moleya pa gen dlo svp f konnen sa pou mwen.,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,there lack of water in moleya please informed them for me 
"I want to say hello, my message is to let you know that there's an area in faustin Anhy street that has nothing neither food, water and medicine,",17-01-2010,Mwen salye nou dab mesaj mwen an se jis nou gen yen faustin 1re rue anhy 1re kipa jwenn an yen ni vizit ni dlo e moun yo dan le bezyon yap achte ti sa,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, want to say hello my message is to let you know that there an area in faustin anhy street that has nothing neither food water and medicine 
Can you tell me about this service,17-01-2010,Can you tell me about this service,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,can you tell me about this service
How can we get water and food in Fontamara 43 cite Tinante?,17-01-2010,Comment nou ka jwen dlo ak manje nan font 43 cite tinante,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,how can we get water and food in fontamara cite tinante 
We need help. Carrefour has been forgotten completely. The foul odor is killing us. Just letting you know. Thanks!!,17-01-2010,Nap di secours yo bliye kafou net sant m ap touye moun fe mesage la pase ok mersi.,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we need help carrefour has been forgotten completely the foul odor is killing us just letting you know thanks 
"Good evening, Radio one please. I would like information on Tiyous.",17-01-2010,Bonswa radio one svp eskew pap k enfomasyon sou tiyous.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good evening radio one please would like information on tiyous 
"We have a lot of problem at Delma 75 Avenue Albert Jode, those people need water and food.",17-01-2010,We have a many probleme a baout delmas 75 aveny albert jode the pepole need some weater some food and medcin Iwat my name rejinald,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we have lot of problem at delma avenue albert jode those people need water and food 
"I'm here, I didn't find the person that I needed to send the pant by phone",17-01-2010,Mwen la moun poum te voye pantalon mwen pa jwenn yo pa telefon,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, here didn find the person that needed to send the pant by phone
People have been sleeping outdoors in a field near Lilavois since 12 Jan. No coords on Lilavois but apparently it is near PaP,17-01-2010,ofit des habitants qui dorment a la belle etoile sur le terrain de Lilavois depuis le 12 janvier.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,people have been sleeping outdoors in field near lilavois since jan no coords on lilavois but apparently it is near pap
"We want you to know that Carrefour need help, we starving to death.",17-01-2010,koufou poko jwenn ankenn ed nap mouri grangou men nou gen dlo ok.,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,we want you to know that carrefour need help we starving to death 
I would like to get help at Cote Plage in Carrefour,17-01-2010,Mwen ta renmen yo vizite cote plage carrefour,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, would like to get help at cote plage in carrefour
"I am in Leoganes, where can I get food? Please",17-01-2010,mwen leyogan ki kote ki gen manje tanpri,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, am in leoganes where can get food please
"The Comite Miracle in the area of Alerte Rue Monseigneur Guilloux, ( Streets, Alerte and the cross street is Mgr Guilloux ) would like to urgently receive food, water and tents for the people in that area. Thanks",17-01-2010,komite mirak ki tabli nan zone alerte mgr guilloux ta renmen resevwa prese prese dlo manje ak tant pou moun nan zone nan,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,the comite miracle in the area of alerte rue monseigneur guilloux streets alerte and the cross street is mgr guilloux would like to urgently receive food water and tents for the people in that area thanks
"People from Dal blocked since Wednesday in Carrefour, we having water shortage, food and medical assistance.",17-01-2010,moun sou dal blok fo mekredi nan kfou fy gen pwoblem dlo manje remed,direct,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,people from dal blocked since wednesday in carrefour we having water shortage food and medical assistance 
"In Jacmel it's not working at all, because people are dying of hunger.",17-01-2010,n jakmel sa pa mache ditou paske moun yo ap mouri grangou,direct,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,in jacmel it not working at all because people are dying of hunger 
We have no one everybody is dead.,17-01-2010,nou a gen peson tout moun mouri,direct,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we have no one everybody is dead 
"We don't talk about Petit-Goave, Please, look into Petit-Goave.",17-01-2010,Nou pa janm pale de tigwav otorite yo voye je nou sou tigwav se chausler st jean.,direct,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,we don talk about petit goave please look into petit goave 
"People in Fontamara 27 in impass area Pierre Louis having lots of difficulties, please help, ASAP.",17-01-2010,moun fontamara 27 zon impass pierre louis nan problem. sos.,direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,people in fontamara in impass area pierre louis having lots of difficulties please help asap 
"Good evening, I congratulate you for all the good work and with strenght i'm listening from Matisan 1, we have water and food shortage but God provided his grace upon us.",17-01-2010,Bonswa mwen felisite nou pou bon travay sa malgre tou kouraj map kouten matisan 1 nou gen problem mange ak dlo men bondye te fe nou gras,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,good evening congratulate you for all the good work and with strenght listening from matisan we have water and food shortage but god provided his grace upon us 
how can we find aid and food in fontamara ( carrefour ),17-01-2010,Koman nou ka jwenn sekou ak manje nan fontamara 43 ru menos cite la bel,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,how can we find aid and food in fontamara carrefour 
"Am listening to radio in Jacmel. Need help to remove dead bodies at Colege la Trinite-universite, the bodies are the professors and students",17-01-2010,"Mwen ap koute radyo wa jakmel map pou vini ede nou retire kadav anba dekonb kolj La trinite ki te loje inivsite inasmo, kadav yo se etidyan ak pwofes t",direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,am listening to radio in jacmel need help to remove dead bodies at colege la trinite universite the bodies are the professors and students
People from Jacmel are requesting a tractor in that area because there is a civil unrest and social disturbance in that area.,17-01-2010,"MOUN JACMEL YO MANDE POU ENSTANS KONSENE YO VOYE YON TRAKTER NAN WOUT JACMEL LA, PASKE GEN ANPIL DEZOD SOU SA A ( MARCELIN JEAN DEPI JACMEL )",direct,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,people from jacmel are requesting tractor in that area because there is civil unrest and social disturbance in that area 
Im asking a general prayer for the country of Haiti.,17-01-2010,MWEN MANDE YON JEN NASYONAL POU PEYI A,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,im asking general prayer for the country of haiti 
"We are at KF Marotiere 85, we have food and water shortage, please send food for us.",17-01-2010,Nou nan kf maroty 85 nou pa gen dlo val anvayi nou voye manje manje pou nou tanpri bay mesaj la,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are at kf marotiere we have food and water shortage please send food for us 
I'm listening to you at Miraguan we asking the government to take change because one gallon gas is 80.,17-01-2010,MWEN AP KOUTE NOU MIRAGWAN NOU AP MANDE POU RESPONSAB YO PRAN YON DESIZYON NAN MOMAN NOU YE LA A GALON GAZOLINE AP VANN 8O DOLA.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, listening to you at miraguan we asking the government to take change because one gallon gas is 
I am listening to radio wa in jacmel. I am asking for help to remove the dead bodies under La trinite college situated at university inasmo. The dead bodies are those of students and teachers,17-01-2010,"Mwen ap koute radyo wa jakmel map mande pou vini ede nou retire kadav anba dekonb kolj La trinite ki te loje inivsite inasmo, kadav yo se etidyan ak pwo",direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, am listening to radio wa in jacmel am asking for help to remove the dead bodies under la trinite college situated at university inasmo the dead bodies are those of students and teachers
In which transfert house does someone abroad has to go to send money to haiti,17-01-2010,nan Ki mezon transf yon moun ki a letranje ka itilise pou voye lajan pou yon fanmi li ki an ayiti?,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,in which transfert house does someone abroad has to go to send money to haiti
"For your information, There are people that are found in the rubbles of the School of Trinite, ( L'Ecole Sainte Trinite ) in Jacmel. Cookies brought to them by Colombian dogs are keeping them alive.",17-01-2010,"Pou infomasyon juska pwesent genyen moun yo touve aba decon nen lekol latrinite nan jakmel, se chien colombien ki pote bonbon nan bouche yo bay moun sa yo",direct,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,for your information there are people that are found in the rubbles of the school of trinite ecole sainte trinite in jacmel cookies brought to them by colombian dogs are keeping them alive 
When can we get some help in Jacmel?,17-01-2010,Kil nou ka jwenn asistans nan jakml,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,when can we get some help in jacmel 
.. .. . we are here our mother has no more water. if you are there let us know ( location not provided ),17-01-2010,MLT KK LWE ESKE NOU LA MANMAN NOU PAGEN DLO ANK SILA FL KON,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, we are here our mother has no more water if you are there let us know location not provided 
People needing water with baby Location : Beach 24,17-01-2010,Gen ampil pwoblem nan kot plaj 24 nou ta renmen jwen dlo gen ti bebe kap soufri nou gen 3 jou konsa,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,people needing water with baby location beach 
"help is needed in fond parisien, no idea where that is, but any haitian can tell you",17-01-2010,san panse pou fonparisyen vin kapital peyia?gerbens,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,help is needed in fond parisien no idea where that is but any haitian can tell you
"We're asking for water, medical supply, food",17-01-2010,"Nap mande tout ganizasyon kap bay d yo, nan kwadbouk pli presizeman nan lokalite nwal, ki pa gen dlo, mange, medikamen depi li seys la pase a.",direct,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are asking for water medical supply food
would like to know where food and water are being distributed. ( location not provided ),17-01-2010,Mwen ta renmen konnen ki kote nou ka jwenn yon ti dlo moun ka bw ak yon ti ed manje pou yon group moun ki grangou. Mesi,direct,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,would like to know where food and water are being distributed location not provided 
"i am very happy, i hear god, religious hyme",17-01-2010,Mwen tre kontan li mwen tande bondye fe ou la mwen ap diw demi deyi anba pwela pou seren leswa,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, am very happy hear god religious hyme
Looking for someone but no name,17-01-2010,"Patnm, di Maryani relem pou li banm nouvel li ak timoun yo. Mesi se john jean depi Monben kwochi.",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,looking for someone but no name
I am in Croix-des-Bouquets. We have health issues. They ( workers ) are in Santo 15. ( an area in Croix-des-Bouquets ),17-01-2010,"Nou kwadebouke, nou gen pwoblem sant m yo nan santo 15",direct,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, am in croix des bouquets we have health issues they workers are in santo an area in croix des bouquets 
are you going to call me or do you want me to call ou? let me know?,17-01-2010,Eske se rele nap relem oubyen se mwen kap rele nou?si se mwen eske,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,are you going to call me or do you want me to call ou let me know 
"People I'm at Delma 2, we don't anything what so ever, please provide us with some food, water, and medicine",17-01-2010,MEZANMI MWEN MWEN NAN DELMA 2 NOU TR MAN MAL NOU PA JAN M JWEN ANY,direct,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,people at delma we don anything what so ever please provide us with some food water and medicine
"How we can find food and water? we have people in many differents needs, and also for medicine at Fontamara 43 cite Tinante.",17-01-2010,Comment nou ka jwen dlo ak manje nou gen moun ki gen tout kalte pwoblem nan fontamara 43 cite tinante,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,how we can find food and water we have people in many differents needs and also for medicine at fontamara cite tinante 
What's up? I would like to know how the Arab is doing.,17-01-2010,Sak pase mwen ta renmen konnen kijan arab la ye,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,what up would like to know how the arab is doing 
How can we find help and food in fontamara 43 rue menos,17-01-2010,Koman nou ka jwenn sekou ak manje nan fontamara 43 ru menos nan tet la bel,direct,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,how can we find help and food in fontamara rue menos
We are seven in the house. Located betwenn Musso and Juvenat. Dyobel-Dyobal. .. not sure The rest of the information is not clear.,17-01-2010,"Mwen salye nou pou sipo n ak solidarite nap bay pap ayiswen an jodi a. M abite nan yon tizo n ki rele dyobl ant miso ak jivna 7 andan net, koman pou n",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,we are seven in the house located betwenn musso and juvenat dyobel dyobal not sure the rest of the information is not clear 
"I am a driver, a mechanic ,. I want to help",18-01-2010,"MWEN SE YON NMALIEN, CHOF, MEKANISYEN MWEN BEZWEN BAY SEKOU",direct,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, am driver mechanic want to help
We are at Fort Mercredi ( wednesday ) where can we find tents and treated water.,18-01-2010,Nous sommes  Fort - Mercredi Ou on peux trouver des tentes et des eaux traites,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are at fort mercredi wednesday where can we find tents and treated water 
"Our imcomprehensibley of 9 member was repatriated incomprehensible - (Location) Duvivier, Fond Grango",18-01-2010,"asyon de 9 manb nou nan rapatriye zon la plan divivye fontan, grango",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,our imcomprehensibley of member was repatriated incomprehensible location duvivier fond grango
Please Bo Gravel Vob Ta A 41 we are hungry. Need food.,18-01-2010,SVP BO GRAVEL VOB TAA 41 NOU GRANGOU,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,please bo gravel vob ta we are hungry need food 
"We are not located in one place, and i want you to know there is a lot of available spaces to put up tent for shelters  is the reason why we station in front of our house for more safety against thief, as you see.",18-01-2010,ske se pa yon sel kote nou ye epi map fe nou konnen zon gen espas pou konstri anpil tant se pou sa nou tann dra devan lakay nou paske vole lague ou ka re,direct,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are not located in one place and want you to know there is lot of available spaces to put up tent for shelters is the reason why we station in front of our house for more safety against thief as you see 
He is a pastor and an interpreter seeking to help response teams.,18-01-2010,I am an interpreter I am really to give my help. So today I was at the airport but I am sorry because there was no way. My name is Gerard Derice. I am pastor.,direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,he is pastor and an interpreter seeking to help response teams 
we have problem at Paco Lazon this is General Police Department we want you to know we almost out of food and water.,18-01-2010,Nou gen pwoblem nan paco la zon Direksyon General Police sove nou paske mange ak dlo nou ap fini et nou bezwen lot swen sante secours SVP!,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we have problem at paco lazon this is general police department we want you to know we almost out of food and water 
We are in Sainte Bernadette. There are 2 areas that have not received anything. We are buying water ( warm ) for 5 gourdes.,18-01-2010,nou nan st banadt nan fem nou se2 kote ki pako jwenn anyen nap ht 1sache dlo cho pr 5g andanw,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,we are in sainte bernadette there are areas that have not received anything we are buying water warm for gourdes 
I would like to communicate with my family I don I t have any minutes on my cell phone please help,18-01-2010,"Mwen ta renmen kominike ak fanmi mwen, men mwen pagen kat sou telefon mwen",direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, would like to communicate with my family don have any minutes on my cell phone please help
some people are sleeping outside on a field at Lilavois 50 and are dying of hunger since January 12th.,18-01-2010,fit des habitants qui dorment a la belle etoile sur le terrain de Lilavois 50 et qui meurent de faim depuis le 12 janvier.,direct,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,some people are sleeping outside on field at lilavois and are dying of hunger since january th 
